rank,name,position,bat_side,team,home_away,batting_order,venue,opp_team,opp_pitcher,pitcher_hand,days_rest,lineup_confirmed,composite_score,projected_fpts,rolling_7d_fpts_g,rolling_14d_fpts_g,rolling_30d_fpts_g,woba,wrc_plus,bb_pct,k_pct,iso,babip,xwoba_7d,xwoba_14d,xwoba_30d,barrel_pct_7d,barrel_pct_14d,barrel_pct_30d,hard_hit_pct_7d,hard_hit_pct_14d,hard_hit_pct_30d,avg_ev_7d,avg_ev_14d,avg_ev_30d,ev_stdev_30d,ev_floor_30d,ev_ceiling_30d,doc_avg_ev_30d,opp_era,opp_fip,opp_whip,opp_k_pct,platoon_same_hand,platoon_advantage,platoon_batter_woba,platoon_batter_split,platoon_pitcher_woba_against,platoon_pitcher_split,platoon_edge_woba,park_hr_factor,park_runs_factor,park_hits_factor,temp_f,wind_speed_mph,wind_direction,precip_pct,is_indoor
63,Tyler Locklear,1B,R,Arizona Diamondbacks,home,8,Chase Field,San Diego Padres,Walker Buehler,R,1,False,8.203,4.64,7.0,9.14,8.2,,,,,,,0.327,0.351,0.365,10.0,9.4,8.3,10.0,21.9,22.9,78.6,81.6,81.4,16.7,66.0,103.3,86.4,5.18,4.35,1.45,0.202,True,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
64,Manny Machado,3B,R,San Diego Padres,away,3,Chase Field,Arizona Diamondbacks,Kohl Drake,L,1,False,8.154,4.2,5.43,8.38,9.12,,,,,,,0.283,0.308,0.361,2.8,3.8,5.8,33.3,29.5,29.9,85.3,85.1,85.0,14.5,67.9,104.1,86.7,4.85,5.41,1.46,0.203,False,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
65,John Rave,RF,L,Kansas City Royals,home,8,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,8.111,3.36,7.67,7.67,7.67,,,,,,,0.354,0.354,0.354,15.8,15.8,15.8,26.3,26.3,26.3,77.9,77.9,77.9,24.2,36.1,101.2,79.6,4.45,4.57,1.23,0.172,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
66,Spencer Torkelson,1B,R,Detroit Tigers,away,6,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,8.086,2.19,9.2,7.33,8.17,,,,,,,0.304,0.284,0.279,3.3,3.3,5.6,26.7,30.0,25.4,85.1,85.8,84.4,13.7,67.4,100.5,87.6,2.8,3.74,0.92,0.261,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
67,JJ Bleday,LF,L,Cincinnati Reds,home,3,Great American Ball Park,Athletics,Mason Barnett,R,1,True,8.068,3.28,7.33,6.83,8.29,,,,,,,0.318,0.35,0.354,3.2,5.2,6.5,25.8,25.9,23.6,84.0,84.5,84.1,15.2,63.3,102.8,85.9,4.85,4.78,1.31,0.23,False,neutral,0.353,vs RHP,0.351,vs LHB,0.002,1.12,1.08,1.04,83.8,4.9,W,0,False
68,Ronald Acuña Jr.,RF,R,Atlanta Braves,home,2,Truist Park,Miami Marlins,Janson Junk,R,1,False,8.006,3.19,8.67,6.67,6.67,,,,,,,0.413,0.364,0.364,11.8,9.4,9.4,32.4,28.3,28.3,84.8,82.8,82.8,15.9,69.9,103.6,86.7,4.58,4.21,1.33,0.181,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
69,Dominic Canzone,DH,L,Seattle Mariners,home,3,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,7.935,3.75,5.5,9.67,7.55,,,,,,,0.289,0.421,0.338,2.8,6.9,5.6,11.1,20.8,25.0,80.0,81.5,83.1,14.3,65.1,103.4,85.5,4.41,3.84,1.39,0.184,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
70,Xander Bogaerts,SS,R,San Diego Padres,away,6,Chase Field,Arizona Diamondbacks,Kohl Drake,L,1,False,7.858,3.53,8.14,6.83,7.17,,,,,,,0.354,0.313,0.326,0.0,0.0,2.7,34.4,28.3,29.1,86.8,85.2,85.1,14.8,65.2,102.2,86.3,4.85,5.41,1.46,0.203,False,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
71,Cooper Pratt,SS,R,Milwaukee Brewers,home,8,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,7.839,3.66,6.0,9.45,8.91,,,,,,,0.247,0.315,0.302,0.0,2.2,0.9,12.0,17.8,18.7,75.1,78.4,81.1,14.9,65.2,98.9,84.7,3.96,3.37,1.16,0.266,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
72,Daylen Lile,LF,L,Washington Nationals,away,4,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,7.834,2.06,8.57,7.15,7.04,,,,,,,0.274,0.267,0.296,5.7,3.1,5.5,34.3,25.0,23.4,87.0,83.4,82.9,13.2,65.7,101.1,84.5,2.61,2.54,1.2,0.279,True,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
73,Drake Baldwin,C,L,Atlanta Braves,home,1,Truist Park,Miami Marlins,Janson Junk,R,1,False,7.745,3.28,4.67,7.23,9.64,,,,,,,0.331,0.339,0.4,4.2,4.4,5.3,31.2,27.8,30.0,84.6,83.3,84.4,14.0,66.2,103.0,87.6,4.58,4.21,1.33,0.181,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
74,Michael Harris II,CF,L,Atlanta Braves,home,4,Truist Park,Miami Marlins,Janson Junk,R,1,False,7.697,3.24,6.83,6.77,7.64,,,,,,,0.341,0.331,0.297,3.4,4.1,3.1,34.5,31.1,31.2,84.5,83.9,83.9,16.8,64.1,103.8,85.9,4.58,4.21,1.33,0.181,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
75,Andrew Benintendi,DH,L,Chicago White Sox,away,5,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,7.683,2.12,9.0,6.27,7.19,,,,,,,0.399,0.261,0.279,12.5,5.1,2.6,50.0,28.2,23.7,88.9,83.4,83.0,13.1,68.5,97.7,85.5,3.15,2.49,1.16,0.257,True,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
76,Masataka Yoshida,DH,L,Boston Red Sox,home,5,Fenway Park,Chicago White Sox,Luis Castillo,R,1,False,7.646,3.27,8.0,5.58,7.14,,,,,,,0.352,0.349,0.36,5.9,3.8,3.9,29.4,26.9,27.2,82.6,83.5,84.2,14.6,68.2,101.2,83.5,5.06,4.43,1.39,0.194,False,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
77,Dansby Swanson,SS,R,Chicago Cubs,home,8,Wrigley Field,Toronto Blue Jays,Dylan Cease,R,1,False,7.622,2.11,8.43,8.08,7.46,,,,,,,0.248,0.268,0.3,3.1,3.8,2.5,15.6,20.8,25.2,83.9,84.4,83.6,14.4,62.5,102.2,87.7,2.41,2.23,1.08,0.362,True,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
78,Garrett Mitchell,CF,L,Milwaukee Brewers,home,3,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,7.589,2.66,7.83,6.18,6.96,,,,,,,0.389,0.36,0.337,8.7,7.0,4.7,30.4,30.2,25.5,86.3,86.1,85.9,13.7,69.6,107.2,88.8,3.96,3.37,1.16,0.266,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
79,Josh Bell,DH,S,Minnesota Twins,away,3,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,7.584,2.25,8.2,6.0,6.23,,,,,,,0.342,0.291,0.276,7.1,4.9,3.0,39.3,27.9,26.1,91.3,86.7,84.8,13.9,65.5,102.2,87.9,3.51,3.82,1.16,0.197,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
80,Jacob Young,CF,R,Washington Nationals,away,9,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,7.571,2.3,5.6,8.5,8.65,,,,,,,0.331,0.395,0.426,0.0,0.0,4.4,11.1,14.3,19.1,80.3,78.4,80.2,16.8,63.5,98.2,83.0,2.61,2.54,1.2,0.279,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
81,Kyle Schwarber,DH,L,Philadelphia Phillies,home,1,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,7.539,3.51,5.0,6.8,7.36,,,,,,,0.337,0.34,0.305,0.0,0.0,4.1,23.1,26.1,26.8,81.9,83.3,84.3,14.8,65.5,106.0,86.9,5.67,5.82,1.35,0.119,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
82,Carter Jensen,C,L,Kansas City Royals,home,1,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,7.516,2.69,7.17,5.92,6.54,,,,,,,0.279,0.253,0.253,6.2,5.0,4.1,9.4,15.0,15.8,79.2,79.4,80.7,14.7,63.2,100.7,85.6,4.45,4.57,1.23,0.172,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
83,Justin Crawford,CF,L,Philadelphia Phillies,home,9,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,7.511,4.08,7.83,5.92,5.95,,,,,,,0.286,0.325,0.278,4.0,2.0,1.2,36.0,24.5,22.0,83.7,81.1,81.7,14.4,66.7,100.8,83.5,5.67,5.82,1.35,0.119,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
84,Chase Meidroth,2B,R,Chicago White Sox,away,8,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,7.478,2.61,5.83,8.25,7.87,,,,,,,0.326,0.321,0.321,0.0,5.5,2.5,16.7,23.6,22.7,81.3,82.5,81.3,18.2,59.4,99.3,84.7,3.15,2.49,1.16,0.257,False,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
85,Gunnar Henderson,SS,L,Baltimore Orioles,home,3,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,1,True,7.459,4.59,6.8,6.09,7.22,,,,,,,0.436,0.343,0.312,7.1,5.5,3.3,57.1,30.9,28.9,91.9,83.4,84.9,14.7,69.3,103.7,88.3,7.63,6.19,1.59,0.175,False,pitcher,0.281,vs RHP,0.365,vs LHB,-0.084,1.1,1.05,1.03,88.9,5.9,SSW,0,False
86,Zach McKinstry,2B,L,Detroit Tigers,away,9,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,7.353,2.3,7.6,7.58,6.25,,,,,,,0.364,0.372,0.35,0.0,1.8,2.8,20.0,27.3,19.8,80.1,82.2,81.3,14.4,64.5,99.0,82.1,2.8,3.74,0.92,0.261,False,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
87,Travis Bazzana,2B,L,Cleveland Guardians,home,1,Progressive Field,New York Mets,Nolan McLean,R,1,True,7.352,2.15,6.8,5.58,7.71,,,,,,,0.241,0.28,0.294,0.0,0.0,1.4,28.6,21.7,18.4,83.2,82.5,81.8,14.9,64.9,99.5,84.8,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
88,Michael Busch,1B,L,Chicago Cubs,home,5,Wrigley Field,Toronto Blue Jays,Dylan Cease,R,1,False,7.346,1.93,7.57,6.69,8.08,,,,,,,0.33,0.3,0.305,4.7,4.7,3.0,20.9,20.9,19.0,83.6,82.2,82.6,13.3,68.7,98.7,81.2,2.41,2.23,1.08,0.362,False,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
89,Vaughn Grissom,2B,R,Los Angeles Angels,away,5,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,7.334,2.9,4.2,8.73,8.71,,,,,,,0.21,0.294,0.328,0.0,4.0,4.4,21.1,24.0,28.3,83.6,83.7,83.6,14.4,65.7,102.7,87.9,3.31,3.89,1.29,0.194,True,batter,0.323,vs RHP,0.301,vs RHB,0.022,1.1,1.05,1.03,88.9,5.9,SSW,0,False
90,William Contreras,C,R,Milwaukee Brewers,home,4,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,7.334,3.0,7.83,7.18,6.14,,,,,,,0.317,0.303,0.282,7.4,5.2,5.0,25.9,27.6,24.4,83.7,82.1,82.4,14.5,65.3,102.8,86.0,3.96,3.37,1.16,0.266,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
91,Christian Encarnacion-Strand,3B,R,Baltimore Orioles,home,4,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,1,True,7.304,5.07,4.8,7.33,8.46,,,,,,,0.445,0.422,0.394,15.0,12.2,10.1,20.0,24.5,21.5,85.5,85.3,83.5,15.5,62.8,104.0,84.8,7.63,6.19,1.59,0.175,True,pitcher,0.174,vs RHP,0.357,vs RHB,-0.183,1.1,1.05,1.03,88.9,5.9,SSW,0,False
92,Tyler Soderstrom,LF,L,Athletics,away,4,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,1,True,7.301,2.81,6.5,6.5,7.82,,,,,,,0.368,0.291,0.328,3.3,1.6,3.6,43.3,31.1,28.8,87.3,83.9,84.3,15.3,68.2,103.4,90.0,3.91,4.8,1.39,0.18,True,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
93,Isaac Collins,LF,S,Kansas City Royals,home,6,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,7.271,2.58,7.0,6.45,7.09,,,,,,,0.311,0.255,0.282,0.0,2.0,1.9,30.4,24.5,25.2,84.1,82.2,82.0,16.0,64.7,102.2,81.5,4.45,4.57,1.23,0.172,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
94,Kody Clemens,1B,L,Minnesota Twins,away,4,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,7.24,2.45,5.67,7.55,7.13,,,,,,,0.239,0.291,0.27,2.2,2.7,2.8,17.8,27.4,24.1,82.0,85.0,84.4,13.0,69.1,102.1,85.7,3.51,3.82,1.16,0.197,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
95,Ryan Waldschmidt,CF,R,Arizona Diamondbacks,home,9,Chase Field,San Diego Padres,Walker Buehler,R,1,False,7.216,3.95,7.0,7.0,7.25,,,,,,,0.331,0.327,0.304,0.0,2.5,3.3,26.1,30.0,25.0,84.1,82.7,83.4,16.8,66.0,102.1,88.1,5.18,4.35,1.45,0.202,True,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
96,Otto Lopez,SS,R,Miami Marlins,away,3,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,7.208,2.75,5.33,7.58,7.14,,,,,,,0.266,0.269,0.273,2.8,1.4,1.6,33.3,28.4,25.4,85.3,82.2,82.2,16.9,59.3,102.3,88.0,3.24,4.23,1.17,0.188,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
97,Patrick Bailey,C,S,Cleveland Guardians,home,8,Progressive Field,New York Mets,Nolan McLean,R,1,True,7.199,2.17,8.0,5.75,6.94,,,,,,,0.319,0.34,0.331,8.3,6.1,5.5,41.7,27.3,28.8,92.3,85.7,84.7,16.3,69.0,104.5,88.5,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
98,Dylan Crews,RF,R,Washington Nationals,away,3,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,7.186,2.18,4.43,8.33,7.82,,,,,,,0.305,0.353,0.321,7.7,9.3,7.3,30.8,31.5,24.0,87.0,84.1,82.8,14.5,67.1,100.7,87.5,2.61,2.54,1.2,0.279,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
99,Kazuma Okamoto,3B,R,Toronto Blue Jays,away,2,Wrigley Field,Chicago Cubs,David Peterson,L,1,False,7.185,4.61,4.33,7.69,7.38,,,,,,,0.226,0.233,0.235,0.0,2.8,3.0,25.7,26.4,23.1,83.0,83.3,83.0,13.3,67.5,101.5,87.9,5.52,4.02,1.48,0.188,False,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
100,Salvador Perez,DH,R,Kansas City Royals,home,4,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,7.178,3.03,5.67,7.17,8.04,,,,,,,0.274,0.321,0.34,2.5,5.3,5.5,15.0,19.7,21.2,80.3,81.3,81.3,14.8,62.0,100.9,83.6,4.45,4.57,1.23,0.172,True,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
101,Esmerlyn Valdez,RF,R,Pittsburgh Pirates,away,4,American Family Field,Milwaukee Brewers,Dustin May,R,1,False,7.161,2.67,5.43,6.15,10.28,,,,,,,0.245,0.306,0.339,0.0,4.4,9.3,12.5,17.8,23.7,83.4,82.5,84.8,13.5,68.9,102.8,85.8,4.38,2.95,1.28,0.231,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
102,Cal Raleigh,C,S,Seattle Mariners,home,6,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,7.159,2.7,7.33,6.36,6.35,,,,,,,0.359,0.352,0.313,12.1,11.5,6.6,30.3,38.5,27.2,86.2,88.8,85.5,16.0,69.3,106.5,85.4,4.41,3.84,1.39,0.184,False,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
103,Colt Keith,3B,L,Detroit Tigers,away,5,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,7.157,2.14,6.2,7.92,6.83,,,,,,,0.386,0.344,0.351,6.2,1.8,4.3,31.2,17.5,21.5,85.2,82.0,83.9,12.5,68.8,101.1,86.0,2.8,3.74,0.92,0.261,False,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
104,Heriberto Hernández,LF,R,Miami Marlins,away,5,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,7.151,2.47,5.2,7.73,7.91,,,,,,,0.312,0.274,0.326,0.0,3.9,10.1,26.9,27.5,31.3,82.7,84.3,84.9,15.0,66.2,103.7,87.8,3.24,4.23,1.17,0.188,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
105,Michael Massey,2B,L,Kansas City Royals,home,5,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,7.135,2.93,6.4,6.36,7.23,,,,,,,0.274,0.277,0.296,2.9,3.2,2.5,17.6,25.4,26.9,84.2,84.5,84.0,13.2,69.6,100.6,86.0,4.45,4.57,1.23,0.172,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
106,Myles Straw,RF,R,Toronto Blue Jays,away,9,Wrigley Field,Chicago Cubs,David Peterson,L,1,False,7.13,3.6,8.0,6.67,4.32,,,,,,,0.311,0.329,0.33,0.0,0.0,2.9,19.2,18.6,17.1,81.9,82.1,81.2,13.3,64.6,97.2,80.1,5.52,4.02,1.48,0.188,False,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
107,Wade Meckler,LF,L,Los Angeles Angels,away,1,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,7.064,2.12,7.4,5.11,5.33,,,,,,,0.333,0.253,0.322,0.0,0.0,0.0,22.2,10.0,18.5,84.2,79.0,81.4,13.8,63.9,99.1,83.1,3.31,3.89,1.29,0.194,False,batter,0.36,vs RHP,0.291,vs LHB,0.069,1.1,1.05,1.03,88.9,5.9,SSW,0,False
108,Andrew Vaughn,1B,R,Milwaukee Brewers,home,6,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,7.036,2.92,7.6,7.7,5.59,,,,,,,0.384,0.432,0.363,5.6,7.7,7.1,22.2,30.8,27.1,81.8,82.7,83.8,14.8,69.7,101.2,88.9,3.96,3.37,1.16,0.266,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
109,Ildemaro Vargas,1B,S,Arizona Diamondbacks,home,6,Chase Field,San Diego Padres,Walker Buehler,R,1,False,6.992,3.46,7.0,6.0,6.55,,,,,,,0.287,0.36,0.359,4.3,2.2,1.1,17.4,26.1,33.7,81.5,82.8,85.5,14.7,65.0,100.9,88.5,5.18,4.35,1.45,0.202,False,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
110,Jonah Heim,C,S,Athletics,away,3,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,1,True,6.952,2.75,6.0,6.64,5.43,,,,,,,0.326,0.34,0.309,3.2,4.5,3.1,25.8,27.3,23.6,82.6,83.3,82.5,13.0,68.3,99.6,85.6,3.91,4.8,1.39,0.18,False,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
111,J.T. Realmuto,C,R,Philadelphia Phillies,home,7,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,6.944,3.96,6.0,6.5,7.0,,,,,,,0.4,0.391,0.357,6.2,3.4,1.8,18.8,24.1,26.4,84.2,83.7,83.8,14.5,66.1,103.1,88.1,5.67,5.82,1.35,0.119,True,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
112,Jake Cronenworth,2B,L,San Diego Padres,away,8,Chase Field,Arizona Diamondbacks,Kohl Drake,L,1,False,6.829,3.91,5.5,7.42,7.65,,,,,,,0.22,0.294,0.297,0.0,0.0,0.7,8.3,15.9,20.3,75.7,79.0,80.1,16.9,61.3,100.6,81.8,4.85,5.41,1.46,0.203,True,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
113,Matt McLain,2B,R,Cincinnati Reds,home,9,Great American Ball Park,Athletics,Mason Barnett,R,1,True,6.819,3.66,6.83,6.83,5.86,,,,,,,0.258,0.258,0.238,4.2,4.2,3.8,8.3,8.3,7.7,72.5,72.5,70.3,20.0,34.2,88.8,75.7,4.85,4.78,1.31,0.23,True,pitcher,0.257,vs RHP,0.278,vs RHB,-0.021,1.12,1.08,1.04,83.8,4.9,W,0,False
114,Ryan Jeffers,C,R,Minnesota Twins,away,2,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,6.793,2.42,5.67,6.3,7.69,,,,,,,0.3,0.3,0.323,0.0,0.0,1.0,27.9,24.6,22.9,84.1,82.5,83.0,15.0,63.0,100.3,87.2,3.51,3.82,1.16,0.197,True,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
115,Bryan Reynolds,LF,S,Pittsburgh Pirates,away,3,American Family Field,Milwaukee Brewers,Dustin May,R,1,False,6.782,2.98,5.29,6.23,7.28,,,,,,,0.274,0.291,0.308,2.7,8.6,6.7,29.7,28.6,24.6,85.1,83.1,82.6,14.6,64.9,101.0,85.2,4.38,2.95,1.28,0.231,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
116,Alec Bohm,3B,R,Philadelphia Phillies,home,5,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,6.739,4.16,5.5,6.5,6.58,,,,,,,0.296,0.338,0.323,2.5,1.4,3.0,20.0,22.2,28.1,85.4,85.1,85.8,12.4,71.1,103.8,88.0,5.67,5.82,1.35,0.119,True,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
117,Trevor Larnach,LF,L,Minnesota Twins,away,8,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,6.667,2.06,7.0,5.3,6.86,,,,,,,0.331,0.29,0.328,8.3,4.9,5.2,45.8,34.1,32.0,90.9,87.5,85.9,15.0,67.5,105.3,90.0,3.51,3.82,1.16,0.197,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
118,Luis Campusano,C,R,San Diego Padres,away,7,Chase Field,Arizona Diamondbacks,Kohl Drake,L,1,False,6.629,3.51,6.2,6.25,6.17,,,,,,,0.353,0.324,0.35,3.7,2.2,3.7,37.0,30.4,27.2,85.8,84.2,83.7,15.4,65.7,101.5,85.9,4.85,5.41,1.46,0.203,False,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
119,Francisco Alvarez,C,R,New York Mets,away,5,Progressive Field,Cleveland Guardians,Foster Griffin,L,1,True,6.576,2.06,4.6,6.8,7.61,,,,,,,0.322,0.385,0.351,14.3,12.9,9.0,21.4,25.8,28.4,82.9,82.3,83.3,15.3,65.1,104.1,87.3,3.06,3.91,1.07,0.221,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
120,Jesús Sánchez,RF,L,Toronto Blue Jays,away,3,Wrigley Field,Chicago Cubs,David Peterson,L,1,False,6.566,3.56,6.0,6.0,6.0,,,,,,,0.32,0.32,0.32,10.0,10.0,10.0,30.0,30.0,30.0,79.2,79.2,79.2,21.4,56.7,102.4,81.2,5.52,4.02,1.48,0.188,True,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
121,Josh Naylor,1B,L,Seattle Mariners,home,5,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,6.558,2.83,5.83,6.08,7.54,,,,,,,0.311,0.309,0.315,0.0,1.5,1.6,25.0,24.2,24.0,86.8,84.0,83.8,15.3,65.4,101.3,86.9,4.41,3.84,1.39,0.184,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
122,Nolan Schanuel,1B,L,Los Angeles Angels,away,3,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,6.518,2.39,4.4,6.09,7.5,,,,,,,0.232,0.299,0.365,0.0,3.0,1.7,20.8,19.7,20.8,82.2,80.9,81.6,13.9,66.6,98.6,82.7,3.31,3.89,1.29,0.194,False,batter,0.333,vs RHP,0.291,vs LHB,0.042,1.1,1.05,1.03,88.9,5.9,SSW,0,False
123,Griffin Conine,RF,L,Miami Marlins,away,4,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,6.506,2.26,5.17,6.67,7.46,,,,,,,0.305,0.331,0.356,11.1,7.1,9.7,33.3,35.7,31.2,91.2,87.9,86.2,13.3,69.7,104.8,86.2,3.24,4.23,1.17,0.188,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
124,Christian Yelich,DH,L,Milwaukee Brewers,home,5,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,6.441,2.68,4.8,6.3,8.05,,,,,,,0.259,0.332,0.322,6.5,11.9,6.8,25.8,25.4,24.8,83.1,83.3,82.5,15.0,67.0,102.2,87.1,3.96,3.37,1.16,0.266,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
125,Kyle Isbel,CF,L,Kansas City Royals,home,9,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,6.441,2.57,6.0,6.0,6.0,,,,,,,0.205,0.205,0.205,0.0,0.0,0.0,25.0,25.0,25.0,80.3,80.3,80.3,16.9,61.0,103.4,80.0,4.45,4.57,1.23,0.172,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
126,Marcus Semien,2B,R,New York Mets,away,6,Progressive Field,Cleveland Guardians,Foster Griffin,L,1,True,6.337,2.25,5.33,6.58,6.19,,,,,,,0.273,0.3,0.261,0.0,2.4,1.5,18.2,23.8,23.5,81.1,83.1,81.9,13.5,68.2,99.9,85.4,3.06,3.91,1.07,0.221,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
127,Bo Bichette,3B,R,New York Mets,away,2,Progressive Field,Cleveland Guardians,Foster Griffin,L,1,True,6.242,2.03,6.0,5.25,5.0,,,,,,,0.282,0.262,0.271,2.7,1.3,1.4,24.3,19.7,17.7,84.6,82.1,81.0,14.2,65.6,99.7,83.5,3.06,3.91,1.07,0.221,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
128,Luis Lara,RF,S,Milwaukee Brewers,home,7,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,6.241,3.31,3.5,8.5,6.65,,,,,,,0.246,0.326,0.337,0.0,2.1,2.4,8.7,23.4,21.4,78.8,81.9,82.4,12.6,68.7,98.8,84.3,3.96,3.37,1.16,0.266,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
